4.4	0.204
4.6	0.326
4.8	0.232
5.0	0.271
5.2	0.214
5.4	0.259
5.6	0.216
5.8	0.203
6.0	0.160
6.2	0.237
6.4	0.305
6.6	0.186
6.8	0.217
7.0	0.187
7.2	0.151
7.4	0.156
7.6	0.226
7.8	0.202
8.0	0.180
8.0	0.167
8.2	0.168
8.4	0.154
8.6	0.212
8.8	0.180
9.0	0.201
9.2	0.228
9.4	0.213
9.6	0.327
9.8	0.318
10.0	0.231
10.2	0.256
10.4	0.207
10.6	0.162
10.8	0.167
11.0	0.237
11.2	0.246
11.4	0.221
11.6	0.192
11.8	0.157
12.0	0.120
12.0	0.166
13.0	0.158
14.0	0.113
15.0	0.113
16.0	0.180
17.0	0.183
18.0	0.091
19.0	0.152
20.0	0.207
21.0	0.259
