3.8	0.136
3.9	0.130
4.0	0.129
4.1	0.127
4.2	0.126
4.3	0.125
4.4	0.125
4.5	0.124
4.6	0.123
4.7	0.123
4.8	0.122
4.9	0.122
5.0	0.121
5.1	0.121
5.2	0.120
5.3	0.120
5.4	0.120
5.5	0.119
5.6	0.119
5.7	0.118
5.8	0.118
5.9	0.118
6.0	0.118
6.1	0.117
6.2	0.117
6.3	0.117
6.4	0.116
6.5	0.116
6.6	0.116
6.7	0.116
6.8	0.116
6.9	0.116
7.0	0.116
7.1	0.117
7.2	0.117
7.3	0.117
7.4	0.118
7.5	0.118
7.6	0.118
7.7	0.118
7.8	0.117
7.9	0.111
8.0	0.092
8.0	0.085
8.1	0.104
8.2	0.111
8.3	0.112
8.4	0.113
8.5	0.113
8.6	0.113
8.7	0.113
8.8	0.113
8.9	0.114
9.0	0.115
9.1	0.118
9.2	0.125
9.3	0.141
9.4	0.166
9.5	0.169
9.6	0.144
9.7	0.128
9.8	0.126
9.9	0.135
10.0	0.146
10.1	0.144
10.2	0.138
10.3	0.139
10.4	0.134
10.5	0.121
10.6	0.112
10.7	0.107
10.8	0.105
10.9	0.104
11.0	0.103
11.1	0.103
11.2	0.102
11.3	0.102
11.4	0.101
11.5	0.100
11.6	0.100
11.7	0.098
11.8	0.095
11.9	0.095
12.0	0.077
12.0	0.070
12.1	0.077
12.2	0.082
12.3	0.082
12.4	0.085
12.5	0.085
12.6	0.085
12.7	0.086
12.8	0.089
12.9	0.091
13.0	0.092
13.1	0.092
13.2	0.092
13.3	0.091
13.4	0.087
13.5	0.083
13.6	0.080
13.7	0.079
13.8	0.080
13.9	0.080
14.0	0.080
14.1	0.077
14.2	0.078
14.3	0.081
14.4	0.085
14.5	0.088
14.6	0.089
14.7	0.089
14.8	0.089
14.9	0.087
15.0	0.087
15.1	0.087
15.2	0.087
15.3	0.086
15.4	0.085
15.5	0.086
15.6	0.087
15.7	0.088
15.8	0.087
15.9	0.086
16.0	0.084
16.1	0.084
16.2	0.086
16.3	0.087
16.4	0.088
16.5	0.089
16.6	0.090
16.7	0.091
16.8	0.091
16.9	0.092
17.0	0.091
17.1	0.091
17.2	0.091
17.3	0.090
17.4	0.090
17.5	0.090
17.6	0.089
17.7	0.089
17.8	0.088
17.9	0.087
18.0	0.088
18.1	0.089
18.2	0.090
18.3	0.092
18.4	0.093
18.5	0.093
18.6	0.093
18.7	0.092
18.8	0.092
18.9	0.091
19.0	0.091
19.1	0.091
19.2	0.092
19.3	0.094
19.4	0.096
19.5	0.099
19.6	0.101
19.7	0.102
19.8	0.102
19.9	0.104
20.0	0.105
20.1	0.107
20.2	0.110
20.3	0.112
20.4	0.114
20.5	0.116
20.6	0.118
20.7	0.119
20.8	0.120
20.9	0.120
21.0	0.121
